Slope,rep,Topo,Aspect,current.year,start.year,cage,caged,severity,bank,germination,earlydeath,reproductive,percent,previous,totalseedpods,avgseedpods,proportionseeded,sdays,daysseeding,finalseedbank,ph,ec,som,nitrogen,carbon,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar
gentle,1,South Gentle,south,1,1,none,No Cage,Severe,40,1,1,0,2.50%,no,0,0,0,,,39,6.2,29.55,2.43,0.05107025,0.41182745,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,1,South Gentle,south,1,1,big,Caged,No Herbivory,40,4,4,0,10.00%,no,0,0,0,,,36,5.97,29.4,3.1305,0.034872385,0.2726921,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,1,South Gentle,south,1,1,small,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,5.665,48.7,2.7,0.02351763,0.59764135,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,2,South Gentle,south,1,1,none,No Cage,Severe,40,1,1,0,2.50%,no,0,0,0,,,39,6.05,31.9,3.335,0.071009595,0.9018188,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,2,South Gentle,south,1,1,big,Caged,Mild,40,1,1,0,2.50%,no,0,0,0,,,39,6.05,35.55,4.71,0.084710795,1.0261715,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,2,South Gentle,south,1,1,small,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,6.04,39.7,5.965,0.10647238,1.785604,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,3,South Gentle,south,1,1,none,No Cage,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,5.49,40,4.585,0.088741215,1.1707635,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,3,South Gentle,south,1,1,big,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,5.545,24.55,3.475,0.049255829,0.68140035,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
gentle,3,South Gentle,south,1,1,small,Caged,Mild,40,1,1,0,2.50%,no,0,0,0,,,39,5.28,30.8,2.4095,0.02624376,0.6555965,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,1,No.aspect Ridge,no.aspect,1,1,none,No Cage,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,5.6,17,3.26,0.077025355,0.778946,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,1,No.aspect Ridge,no.aspect,1,1,big,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,6.005,47.75,5.795,0.0808851,1.63661885,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,1,No.aspect Ridge,no.aspect,1,1,small,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,6.2,30.65,3.104,0,0.69382165,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,2,No.aspect Ridge,no.aspect,1,1,none,No Cage,No Herbivory,40,1,1,0,2.50%,no,0,0,0,,,39,6.29,38.45,3.87,0,0.9661617,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,2,No.aspect Ridge,no.aspect,1,1,big,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,5.48,51.1,6.8,0.079254195,1.03387125,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,2,No.aspect Ridge,no.aspect,1,1,small,Caged,Mild,40,11,11,0,27.50%,no,0,0,0,,,29,6.625,40.05,0.575,0.033405905,0.4886722,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,3,No.aspect Ridge,no.aspect,1,1,none,No Cage,Mild,40,5,5,0,12.50%,no,0,0,0,,,35,6.195,31.45,4.705,0.087311655,0.77844155,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,3,No.aspect Ridge,no.aspect,1,1,big,Caged,No Herbivory,40,0,0,0,0.00%,no,0,0,,,,40,6.24,40.15,3.43,0,0.7859843,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
ridge,3,No.aspect Ridge,no.aspect,1,1,small,Caged,Mild,40,1,1,0,2.50%,no,0,0,0,,,39,6.46,26.65,4.325,0.056994475,0.7098949,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,1,South Steep,south,1,1,none,No Cage,Severe,40,4,4,0,10.00%,no,0,0,0,,,36,6.67,17.9,0.9735,0.029109955,0.29065965,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,1,South Steep,south,1,1,big,Caged,No Herbivory,40,7,6,1,17.50%,no,3,3,14.28571429,83,14,39,6.61,6.35,1.9245,0.025188235,0.12230563,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,1,South Steep,south,1,1,small,Caged,Mild,40,9,9,0,22.50%,no,0,0,0,,,31,6.345,11.7,2.396,0.026917945,0.26728505,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,2,South Steep,south,1,1,none,No Cage,Severe,40,12,12,0,30.00%,no,0,0,0,,,28,6.745,13.5,1.356,0.019222375,0,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,2,South Steep,south,1,1,big,Caged,Severe,40,2,2,0,5.00%,no,0,0,0,,,38,6.49,29.65,2.068,0.028855335,0.20495255,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,2,South Steep,south,1,1,small,Caged,Mild,40,5,5,0,12.50%,no,0,0,0,,,35,6.64,18.25,1.107,0.047090505,0.31778755,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,3,South Steep,south,1,1,none,No Cage,No Herbivory,40,6,6,0,15.00%,no,0,0,0,,,34,6.02,34.5,1.589,0.01708491,0.29584435,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,3,South Steep,south,1,1,big,Caged,No Herbivory,40,2,2,0,5.00%,no,0,0,0,,,38,5.74,31.4,1.818,0.03967767,0.6011692,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
steep,3,South Steep,south,1,1,small,Caged,No Herbivory,40,6,6,0,15.00%,no,0,0,0,,,34,6.935,17.75,2.37,0.05470376,0.9791892,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
swale,1,No.aspect Swale,no.aspect,1,1,none,No Cage,Severe,40,1,1,0,2.50%,no,0,0,0,,,39,6.29,23.75,2.4342,0.02079592,1.0641207,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
swale,1,No.aspect Swale,no.aspect,1,1,big,Caged,Mild,40,7,7,0,17.50%,no,0,0,0,,,33,5.015,46.25,2.892,0,0.9144148,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
swale,1,No.aspect Swale,no.aspect,1,1,small,Caged,No Herbivory,40,3,3,0,7.50%,no,0,0,0,,,37,5.72,33.45,4.50555,0.07135144,2.644816,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
swale,2,No.aspect Swale,no.aspect,1,1,none,No Cage,Severe,40,3,3,0,7.50%,no,0,0,0,,,37,5.835,26.9,1.02,0.025871695,0.47099525,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
swale,2,No.aspect Swale,no.aspect,1,1,big,Caged,Mild,40,1,1,0,2.50%,no,0,0,0,,,39,6.465,23.7,1.915,0.04445328,0.3876331,90.083,10.914,3.039,8.633,15.74,16.249,144.658,2955,95.3,3834,123.7,3743,133.7,5642,182,7058,235.3,7390,238.4,30622
